===================>......] - ETA: 96s - loss: 0.4327 - acc: 0.8364 
 55/140 [==========>...................] - ETA: 329s - loss: 0.4452 - acc: 0.8386
 56/140 [===========>..................] - ETA: 325s - loss: 0.4450 - acc: 0.8384
 57/140 [===========>..................] - ETA: 322s - loss: 0.4426 - acc: 0.8394
 58/140 [===========>..................] - ETA: 316s - loss: 0.4442 - acc: 0.8384
 59/140 [===========>..................] - ETA: 315s - loss: 0.4423 - acc: 0.8398
 60/140 [===========>..................] - ETA: 312s - loss: 0.4453 - acc: 0.8388
 61/140 [============>.................] - ETA: 307s - loss: 0.4431 - acc: 0.8384
 62/140 [============>.................] - ETA: 302s - loss: 0.4458 - acc: 0.8374
 63/140 [============>.................] - ETA: 298s - loss: 0.4468 - acc: 0.8366
 64/140 [============>.................] - ETA: 294s - loss: 0.4441 - acc: 0.8381
 65/140 [============>.................] - ETA: 290s - loss: 0.4435 - acc: 0.8377
 66/140 [=============>................] - ETA: 287s - loss: 0.4447 - acc: 0.8364
 67/140 [=============>................] - ETA: 284s - loss: 0.4464 - acc: 0.8354
 68/140 [=============>................] - ETA: 280s - loss: 0.4450 - acc: 0.8359
 69/140 [=============>................] - ETA: 276s - loss: 0.4452 - acc: 0.8361
 70/140 [==============>...............] - ETA: 272s - loss: 0.4451 - acc: 0.8362
 71/140 [==============>...............] - ETA: 269s - loss: 0.4466 - acc: 0.8358
 72/140 [==============>...............] - ETA: 265s - loss: 0.4467 - acc: 0.8362
 73/140 [==============>...............] - ETA: 261s - loss: 0.4457 - acc: 0.8360
 74/140 [==============>...............] - ETA: 256s - loss: 0.4455 - acc: 0.8361
 75/140 [===============>..............] - ETA: 252s - loss: 0.4473 - acc: 0.8348
 76/140 [===============>..............] - ETA: 248s - loss: 0.4451 - acc: 0.8355
 77/140 [===============>..............] - ETA: 244s - loss: 0.4431 - acc: 0.8369
 78/140 [===============>..............] - ETA: 241s - loss: 0.4416 - acc: 0.8375
 79/140 [===============>..............] - ETA: 237s - loss: 0.4416 - acc: 0.8372
 80/140 [================>.............] - ETA: 233s - loss: 0.4395 - acc: 0.8387
 81/140 [================>.............] - ETA: 229s - loss: 0.4386 - acc: 0.8393
 82/140 [================>.............] - ETA: 225s - loss: 0.4382 - acc: 0.8394
 83/140 [================>.............] - ETA: 222s - loss: 0.4387 - acc: 0.8387
 84/140 [=================>............] - ETA: 217s - loss: 0.4367 - acc: 0.8393
 85/140 [=================>............] - ETA: 214s - loss: 0.4371 - acc: 0.8393
 86/140 [=================>............] - ETA: 210s - loss: 0.4373 - acc: 0.8390
 87/140 [=================>............] - ETA: 205s - loss: 0.4377 - acc: 0.8385
 88/140 [=================>............] - ETA: 201s - loss: 0.4362 - acc: 0.8395
 89/140 [==================>...........] - ETA: 197s - loss: 0.4360 - acc: 0.8395
 90/140 [==================>...........] - ETA: 193s - loss: 0.4354 - acc: 0.8408
 91/140 [==================>...........] - ETA: 189s - loss: 0.4363 - acc: 0.8400
